KKR1_ID,x,y,lab_diag,animal
718,102.146353,15.782091,FMD,beef
721,100.96814,14.889151,FMD,dairy
722,99.008204,17.513381,FMD,beef
724,98.787766,18.556586,FMD,dairy
729,99.167166,18.672584,FMD,dairy
730,99.613407,14.157193,FMD,beef
731,99.921993,13.966883,FMD,dairy
732,99.810656,19.15625,FMD,beef
733,100.5303,6.840054,FMD,beef
734,98.769953,18.622153,FMD,dairy
736,99.27601,8.945254,FMD,beef
737,99.757921,18.246897,FMD,beef
739,101.149996,14.705524,FMD,dairy
740,99.750725,8.656132,FMD,beef
742,100.253868,16.577346,FMD,beef
743,98.997528,9.749368,FMD,beef
744,99.313629,17.693815,FMD,beef
745,101.454871,14.805326,FMD,dairy
746,101.959402,14.973117,FMD,beef
748,98.986751,18.503848,FMD,beef
749,100.89784,16.577123,FMD,dairy
750,99.882914,8.008662,FMD,beef
751,101.378162,14.88546,FMD,dairy
752,99.767847,19.424655,FMD,beef
753,100.331423,17.714941,FMD,beef
757,99.90953,8.299384,FMD,beef
758,101.235373,14.600657,FMD,dairy
759,100.443676,16.594769,FMD,beef
760,99.827597,13.671121,FMD,dairy
761,99.984107,13.612281,FMD,dairy
762,99.263955,17.907804,FMD,beef
766,100.502013,13.867852,FMD,beef
767,98.961263,8.176729,FMD,bull
768,102.387844,15.254274,FMD,beef
769,102.549283,15.277333,FMD,beef
770,100.221624,17.324551,FMD,beef
774,99.962259,7.973296,FMD,beef
775,101.174931,14.582993,FMD,dairy
776,101.235373,14.600657,FMD,beef
777,101.4101,16.735503,FMD,dairy
779,102.631851,15.683471,FMD,beef
781,101.454871,14.805326,FMD,beef
782,99.238337,18.512757,FMD,dairy
784,100.524412,16.610054,FMD,beef
787,101.219445,6.746864,Brucellosis,beef
789,101.174931,14.582993,FMD,dairy
794,99.748777,15.067966,Brucellosis,beef
795,101.454871,14.805326,FMD,dairy
804,101.235373,14.600657,FMD,dairy
807,100.012442,8.324097,FMD,beef
808,100.054476,8.273257,FMD,beef
811,99.91352,8.183448,FMD,beef
813,100.181486,19.86532,FMD,dairy
815,101.149996,14.705524,FMD,dairy
818,101.380775,14.996216,FMD,dairy
819,99.167166,18.672584,FMD,dairy
822,99.701157,11.903405,FMD,dairy
823,99.012851,18.928746,FMD,dairy
825,99.701157,11.903405,FMD,dairy
827,98.886938,8.198137,FMD,beef
829,101.378162,14.88546,FMD,dairy
832,101.378162,14.88546,FMD,dairy
834,100.189293,16.022083,Brucellosis,beef
836,101.162825,14.86662,FMD,dairy
838,101.368726,14.606025,FMD,dairy
839,101.483744,14.933312,FMD,dairy
840,101.454871,14.805326,FMD,dairy
843,101.362923,14.721448,FMD,dairy
852,101.571522,14.70522,FMD,dairy
854,100.020513,20.289854,Tuberculosis,dairy
855,99.725775,19.756004,Tuberculosis,dairy
860,100.7436,14.713712,FMD,dairy
862,101.500131,14.712872,FMD,dairy
864,101.380775,14.996216,FMD,dairy
867,101.362923,14.721448,FMD,dairy
868,99.864226,20.292253,FMD,dairy
876,99.016671,18.991445,FMD,dairy
877,101.362923,14.721448,FMD,dairy
879,100.323984,14.080402,Brucellosis,beef
882,101.547947,6.745629,Hemorrhagic Septicemia,beef
888,99.767388,14.23246,FMD,beef
890,100.572175,7.044626,FMD,beef
891,100.443608,7.309806,FMD,beef
892,100.546609,6.915475,FMD,beef
893,99.001059,19.049689,FMD,beef
894,100.383938,7.046989,FMD,beef
898,100.286109,7.087081,FMD,beef
899,101.266628,6.81181,FMD,beef
900,100.326193,7.593997,FMD,beef
901,100.30968,7.622724,FMD,beef
903,99.954934,13.751397,FMD,dairy
906,100.437031,7.468747,FMD,beef
907,98.849566,18.584467,FMD,dairy
931,99.149849,18.722045,FMD,dairy
932,99.744303,19.780778,FMD,beef
933,99.287506,18.599793,FMD,dairy
934,99.108069,18.512392,FMD,beef
936,99.695674,19.867352,FMD,dairy
937,100.93913,6.82462,FMD,beef
941,99.167166,18.672584,FMD,dairy
942,99.238337,18.512757,FMD,beef
943,97.800893,18.841824,FMD,beef
944,99.201204,17.766432,FMD,beef
945,100.738755,6.963137,FMD,beef
948,100.010283,8.441614,FMD,beef
949,99.085893,18.862391,FMD,dairy
950,99.905648,13.754256,FMD,dairy
951,99.035889,18.7089,FMD,dairy
953,98.72103,18.56502,FMD,dairy
962,99.571347,19.610627,FMD,beef
966,100.333881,7.447079,FMD,beef
967,99.956893,7.764255,FMD,beef
968,99.912541,7.475877,FMD,beef
969,100.389464,7.342052,FMD,beef
971,98.814373,18.308352,FMD,beef
975,102.248685,15.38653,FMD,beef
976,102.857708,16.493309,FMD,beef
977,99.725775,19.756004,FMD,beef
978,99.929615,13.864615,FMD,dairy
979,103.566897,17.570632,FMD,dairy
980,99.827597,13.671121,FMD,dairy
982,101.271145,16.838424,FMD,beef
984,99.649986,14.000592,FMD,dairy
985,99.883893,19.31662,FMD,beef
988,99.824824,8.175071,FMD,beef
989,99.809961,13.972107,FMD,dairy
992,99.124765,10.561653,FMD,beef
993,99.884997,14.023188,FMD,beef
997,102.012238,15.937704,FMD,beef
1000,98.997528,9.749368,FMD,beef
1001,99.962914,17.54369,FMD,beef
1002,99.922692,13.791252,FMD,beef
1003,99.389785,14.113685,FMD,beef
1004,99.791782,19.814679,FMD,beef
1005,99.944776,19.681101,FMD,beef
1010,99.965795,8.311027,FMD,beef
1011,98.495492,19.509378,FMD,beef
1012,100.138061,6.877072,FMD,beef
1014,100.071966,13.835886,FMD,dairy
1015,100.133024,13.934215,FMD,beef
1016,99.9355,14.040913,FMD,beef
1029,99.696221,13.727212,FMD,dairy
1030,99.987936,12.899537,FMD,dairy
1031,99.854135,19.204112,FMD,"dairy,beef"
1032,99.967913,12.14071,FMD,beef
1039,99.833097,13.566884,FMD,dairy
1041,99.984107,13.612281,FMD,dairy
1042,100.335061,7.329198,FMD,beef
